 2018rank,City,State[c],2018estimate,2010Census,Change,2016  land  area,2016  population  density,Location , wiki_link,County,Settled,Incorporated,Type,Mayor,City,Land,Water,Elevation,Time  zone,Summer  (DST),Website,ZIP  Codes,Area  codes,Density 
 100,Spokane,Washington,219190,208916,+4.92%,68.7sqmi;177.9km2,3144/sqmi;1214/km2,474001N  1172600W  /  47.6669N  117.4333W  /  47.6669;  -117.4333  (Spokane) ,https://en.wikipedia.org/wiki/Spokane_Washington,Spokane,, November  29  1881 ,Mayor-Council, David  Condon  (R) , 69.50sqmi  (180.01km2)208916 , 68.77sqmi  (178.11km2) , 0.74sqmi  (1.91km2)  1.28% , 1843ft  (562m) , UTC8  (PST) , UTC7  (PDT) ,www.spokanecity.org,,, 3157.15/sqmi  (1218.99/km2) 
 101,Des  Moines,Iowa,216853,203433,+6.60%,88.9sqmi;230.2km2,2424/sqmi;936/km2,413421N  933637W  /  41.5726N  93.6102W  /  41.5726;  -93.6102  (Des  Moines) ,https://en.wikipedia.org/wiki/Des_Moines_Iowa,,, September  22  1851 , Councilmanager  government[3] , Frank  Cownie  (D) ,, 88.92sqmi  (233.3km2) , 1.73sqmi  (4.48km2) , 955ft  (291m) , UTC-6  (CST) , UTC-5  (CDT) ,www.dmgov.org,,, 2400/sqmi  (1000/km2) 
 102,Tacoma,Washington,216279,198397,+9.01%,49.7sqmi;128.7km2,4251/sqmi;1641/km2,471508N  1222735W  /  47.2522N  122.4598W  /  47.2522;  -122.4598  (Tacoma) ,https://en.wikipedia.org/wiki/Tacoma_Washington,Pierce,, November  12  1875 ,Council-manager, Victoria  Woodards  since  2018 , 62.42sqmi  (161.66km2)198397 , 49.72sqmi  (128.78km2) , 12.70sqmi  (32.88km2) , 243ft  (74m) , UTC8  (PST) , UTC7  (PDT) ,www.cityoftacoma.org,,, 4292.14/sqmi  (1657.21/km2) 
 103,San  Bernardino,California,215941,209924,+2.87%,61.5sqmi;159.3km2,3516/sqmi;1358/km2,340830N  1171737W  /  34.1416N  117.2936W  /  34.1416;  -117.2936  (San  Bernardino) ,https://en.wikipedia.org/wiki/San_Bernardino_California, San  Bernardino ,, August  10  1869[1] ,Council-manager, John  Valdivia , 61.95sqmi  (160.45km2)209924 , 61.52sqmi  (159.33km2) , 0.43sqmi  (1.13km2)  0.74% ,, UTC8  (Pacific) , UTC7  (PDT) ,sbcity.org, 9240192408  9241092415  92418  92420  92423  92424  92427 ,, 3515.17/sqmi  (1357.21/km2) 
 104,Modesto,California,215030,201165,+6.89%,43.0sqmi;111.4km2,4934/sqmi;1905/km2,373815N  1210011W  /  37.6375N  121.0030W  /  37.6375;  -121.0030  (Modesto) ,https://en.wikipedia.org/wiki/Modesto_California,,,,,,,,,,,,,,,
 105,Fontana,California,213739,196069,+9.01%,43.0sqmi;111.4km2,4876/sqmi;1883/km2,340632N  1172746W  /  34.1090N  117.4629W  /  34.1090;  -117.4629  (Fontana) ,https://en.wikipedia.org/wiki/Fontana_California, San  Bernardino ,, June  25  1952[2] ,Council-Manager[3],,, 43.02sqmi  (111.42km2) , 0.00sqmi  (0.00km2)  3% ,, UTC-8  (PST) , UTC-7  (PDT) ,fontana.org,, 909  951[13] , 4923.64/sqmi  (1901.05/km2) 
 106,Santa  Clarita,California,210089,176320,+19.15%,52.8sqmi;136.8km2,3446/sqmi;1331/km2,342411N  1183015W  /  34.4030N  118.5042W  /  34.4030;  -118.5042  (Santa  Clarita) ,https://en.wikipedia.org/wiki/Santa_Clarita_California, Los  Angeles ,, December  15  1987[1] ,Council-Manager, Marsha  McLean , 52.81sqmi  (136.78km2)176320 , 52.76sqmi  (136.65km2) , 0.05sqmi  (0.13km2)  0.099% ,, UTC08:00  (Pacific) , UTC07:00  (PDT) ,www.santa-clarita.com,,, 3449.12/sqmi  (1331.71/km2) 
 107,Birmingham,Alabama,209880,212237,1.11%,146.1sqmi;378.4km2,1452/sqmi;561/km2,333139N  864756W  /  33.5274N  86.7990W  /  33.5274;  -86.7990  (Birmingham) ,https://en.wikipedia.org/wiki/Birmingham_Alabama,,, December  19  1871 ,Mayorcouncil, Randall  Woodfin  (D) , 148.56sqmi  (384.78km2)212237 , 146.02sqmi  (378.19km2) , 2.55sqmi  (6.59km2) , 644ft  (196m) , UTC6  (CST) , UTC5  (CDT) , Official  website ,3520135298,, 1443.04/sqmi  (557.16/km2) 
 108,Oxnard,California,209877,197899,+6.05%,26.9sqmi;69.7km2,7729/sqmi;2984/km2,341208N  1191217W  /  34.2023N  119.2046W  /  34.2023;  -119.2046  (Oxnard) ,https://en.wikipedia.org/wiki/Oxnard_California,Ventura,, June  30  1903[1] ,Councilmanager,,, 26.90sqmi  (69.67km2) , 12.31sqmi  (31.88km2)  31.41% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.oxnard.org,,, 7728.56/sqmi  (2984.05/km2) 
 109,Fayetteville,North  Carolina,209468,200564,+4.44%,147.7sqmi;382.5km2,1386/sqmi;535/km2,350458N  785825W  /  35.0828N  78.9735W  /  35.0828;  -78.9735  (Fayetteville) ,https://en.wikipedia.org/wiki/Fayetteville_North_Carolina,Cumberland,1783,,Council-Manager, Mitch  Colvin  (D) , 147.7sqmi  (382.6km2)200564  US:  110th , 145.9sqmi  (377.8km2) , 1.9sqmi  (4.8km2) , 263ft  (80m) , UTC5  (Eastern  (EST)) , UTC4  (EDT) , Official  website ,,,
 110,Moreno  Valley,California,209050,193365,+8.11%,51.3sqmi;132.9km2,4006/sqmi;1547/km2,335524N  1171221W  /  33.9233N  117.2057W  /  33.9233;  -117.2057  (Moreno  Valley) ,https://en.wikipedia.org/wiki/Moreno_Valley_California,Riverside,, December  3  1984[3] ,Council-Manager,,, 51.27sqmi  (132.80km2) , 0.20sqmi  (0.50km2)  0.39% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.moreno-valley.ca.us,, 909  951 , 4041.86/sqmi  (1560.44/km2) 
 111,Rochester,New  York,206284,210565,2.03%,35.8sqmi;92.7km2,5835/sqmi;2253/km2,431012N  773701W  /  43.1699N  77.6169W  /  43.1699;  -77.6169  (Rochester) ,https://en.wikipedia.org/wiki/Rochester_New_York,,,,,,,,,,,,,,,
 112,Glendale,California,201361,191719,+5.03%,30.4sqmi;78.7km2,6606/sqmi;2551/km2,341053N  1181445W  /  34.1814N  118.2458W  /  34.1814;  -118.2458  (Glendale) ,https://en.wikipedia.org/wiki/Glendale_California, Los  Angeles ,, February  15  1906[1] ,Council-Manager[2],,, 30.43sqmi  (78.82km2) , 0.13sqmi  (0.34km2)  0.43% ,, UTC8  (Pacific) , UTC7  (PDT) ,glendaleca.gov,,, 6672.82/sqmi  (2576.17/km2) 
 113,Huntington  Beach,California,200641,189992,+5.60%,26.9sqmi;69.7km2,7459/sqmi;2880/km2,334126N  1180033W  /  33.6906N  118.0093W  /  33.6906;  -118.0093  (Huntington  Beach) ,https://en.wikipedia.org/wiki/Huntington_Beach_California,Orange,, February  17  1909[3] , City  Council/City  Manager[4] ,,, 26.94sqmi  (69.77km2) , 5.19sqmi  (13.43km2)  16.10% ,, UTC8  (Pacific) , UTC7  (PDT) ,huntingtonbeachca.gov,, 562  657/714 , 7493.47/sqmi  (2893.42/km2) 
 114,Salt  Lake  City,Utah,200591,186440,+7.59%,111.2sqmi;288.0km2,1742/sqmi;673/km2,404637N  1115552W  /  40.7769N  111.9310W  /  40.7769;  -111.9310  (Salt  Lake  City) ,https://en.wikipedia.org/wiki/Salt_Lake_City, Salt  Lake ,,,Mayor-council, Jackie  Biskupski  (D) , 110.4sqmi  (285.9km2)186440 , 109.1sqmi  (282.5km2) , 1.3sqmi  (3.3km2) , 4226ft  (1288m) , UTC7  (Mountain) ,UTC6, Salt  Lake  City  Government , ZIP  Codes[3] , 801  385 , 1709.1/sqmi  (659.9/km2) 
 115,Grand  Rapids,Michigan,200217,188040,+6.48%,44.4sqmi;115.0km2,4424/sqmi;1708/km2,425740N  853920W  /  42.9612N  85.6556W  /  42.9612;  -85.6556  (Grand  Rapids) ,https://en.wikipedia.org/wiki/Grand_Rapids_Michigan,Kent,,, City  Commission-Manager , Rosalynn  Bliss  (D) , 45.31sqmi  (117.35km2)200217 , 44.43sqmi  (115.08km2) , 0.88sqmi  (2.27km2)  1.92% , 640ft  (200m) , UTC-5  (EST) , UTC-4  (EDT) ,www.grcity.us,,, 4474.91/sqmi  (1727.77/km2) 
 116,Amarillo,Texas,199924,190695,+4.84%,101.4sqmi;262.6km2,1968/sqmi;760/km2,351200N  1014949W  /  35.1999N  101.8302W  /  35.1999;  -101.8302  (Amarillo) ,https://en.wikipedia.org/wiki/Amarillo_Texas,,,,Council-Manager, Ginger  Nelson  (Since  May  2017) , 90.3sqmi  (233.9km2)190695 , 89.8sqmi  (232.7km2) , 0.5sqmi  (1.2km2) , 3605ft  (1099m) , UTC6  (CST) , UTC5  (CDT) ,www.amarillo.gov,,, 2100/sqmi  (820/km2) 
 117,Yonkers,New  York,199663,195976,+1.88%,18.0sqmi;46.6km2,11156/sqmi;4307/km2,405645N  735203W  /  40.9459N  73.8674W  /  40.9459;  -73.8674  (Yonkers) ,https://en.wikipedia.org/wiki/Yonkers_New_York,Westchester,, 1872  (city) ,Mayor-Council, Mike  Spano  (D) ,, 18.01sqmi  (46.65km2) , 2.28sqmi  (5.92km2) , 82ft  (25m) , UTC-5  (EST) , UTC-4  (EDT) ,www.yonkersny.gov,,, 11148.51/sqmi  (4304.41/km2) 
 118,Aurora,Illinois,199602,197899,+0.86%,44.9sqmi;116.3km2,4479/sqmi;1729/km2,414549N  881724W  /  41.7635N  88.2901W  /  41.7635;  -88.2901  (Aurora) ,https://en.wikipedia.org/wiki/Aurora_Illinois,,1834,,Mayorcouncil, Richard  Irvin  (R)[1] ,, 44.89sqmi  (116.27km2) , 0.88sqmi  (2.28km2) , 718ft  (219m) , UTC6  (CST) , UTC5  (CDT) ,www.aurora-il.org, 6050260507  60568  60569  60572  60598 , 630  331 , 4472.2/sqmi  (1726.74/km2) 
 119,Montgomery,Alabama,198218,205764,3.67%,159.8sqmi;413.9km2,1252/sqmi;483/km2,322050N  861558W  /  32.3472N  86.2661W  /  32.3472;  -86.2661  (Montgomery) ,https://en.wikipedia.org/wiki/Montgomery_Alabama,Montgomery,, December  3  1819[2] ,MayorCouncil, Todd  Strange  (R) ,, 159.79sqmi  (413.87km2) , 2.39sqmi  (6.19km2) , 240ft  (73m) , UTC6  (CST) , UTC5  (CDT) ,montgomeryal.gov, 36013  36043  36064  36104  36105  36106  36107  36108  36109  36110  36111  36112  36113  36115  36116  36117 ,, 1248.60/sqmi  (482.08/km2) 
 120,Akron,Ohio,198006,199110,0.55%,62.0sqmi;160.6km2,3188/sqmi;1231/km2,410450N  813117W  /  41.0805N  81.5214W  /  41.0805;  -81.5214  (Akron) ,https://en.wikipedia.org/wiki/Akron_Ohio,Summit,, 1836  (village)1865  (city) , Strong  Mayorcouncil , Dan  Horrigan  (D) , 62.37sqmi  (161.54km2)199110 , 62.03sqmi  (160.66km2) , 0.34sqmi  (0.88km2)  0.55% , 1004ft  (306m) , UTC-5  (Eastern  (EST)) , UTC-4  (EDT) ,akronohio.gov,,, 3209.9/sqmi  (1239.3/km2) 
 121,Little  Rock,Arkansas,197881,193524,+2.25%,118.7sqmi;307.4km2,1673/sqmi;646/km2,344331N  922131W  /  34.7254N  92.3586W  /  34.7254;  -92.3586  (Little  Rock) ,https://en.wikipedia.org/wiki/Little_Rock_Arkansas,Pulaski,,,Council-manager, Frank  Scott  Jr.  (D) ,, 119.22sqmi  (308.77km2) , 2.80sqmi  (7.26km2) , 335ft  (102m) , UTC-6  (CST) , UTC-5  (CDT) ,www.littlerock.gov,,, 1665.93/sqmi  (643.22/km2) 
 122,Huntsville,Alabama,197318,180105,+9.56%,213.4sqmi;552.7km2,905/sqmi;349/km2,344156N  864023W  /  34.6990N  86.6730W  /  34.6990;  -86.6730  (Huntsville) ,https://en.wikipedia.org/wiki/Huntsville_Alabama,,,,MayorCouncil, Tommy  Battle  (R) , 214.70sqmi  (556.06km2)180105 , 213.36sqmi  (552.60km2) , 1.34sqmi  (3.47km2) , 600ft  (183m) , UTC6  (CST) , UTC5  (CDT) ,www.huntsvilleal.gov,, 256  938 , 912.01/sqmi  (352.13/km2) 
 123,Augusta[t],Georgia,196939,195844,+0.56%,302.5sqmi;783.5km2,652/sqmi;252/km2,332156N  820424W  /  33.3655N  82.0734W  /  33.3655;  -82.0734  (Augusta) ,https://en.wikipedia.org/wiki/Augusta_Georgia,Richmond,,,, Hardie  Davis ,, 302.1sqmi  (782km2) , 4.3sqmi  (11.3km2) ,, UTC-5  (EST) , UTC-4  (EDT) ,AugustaGA.gov,,, 654.2/sqmi  (252.6/km2) 
 124,Port  St.  Lucie,Florida,195248,164603,+18.62%,118.9sqmi;307.9km2,1557/sqmi;601/km2,271650N  802318W  /  27.2806N  80.3883W  /  27.2806;  -80.3883  (Port  St.  Lucie) ,https://en.wikipedia.org/wiki/Port_St._Lucie_Florida, St.  Lucie ,,1961[1],, Greg  Oravec[2] , 120.51sqmi  (312.11km2)164603 , 118.89sqmi  (307.92km2) , 1.62sqmi  (4.19km2) , 16ft  (5m) , UTC5  (Eastern  (EST)) , UTC4  (EDT) ,www.cityofpsl.com,,, 1557.18/sqmi  (601.23/km2) 
 125,Grand  Prairie,Texas,194614,175396,+10.96%,72.3sqmi;187.3km2,2637/sqmi;1018/km2,324113N  970116W  /  32.6869N  97.0211W  /  32.6869;  -97.0211  (Grand  Prairie) ,https://en.wikipedia.org/wiki/Grand_Prairie_Texas,,,,Council-Manager,, 81.091sqmi  (210.02km2)175396 , 72.105sqmi  (186.75km2) , 8.986sqmi  (23.27km2) , 515ft  (157m) , UTC-6  (CST) , UTC-5  (CDT) ,www.gptx.org,,, 2433/sqmi  (939/km2) 
 126,Columbus[u],Georgia,194160,189885,+2.25%,216.4sqmi;560.5km2,913/sqmi;353/km2,323037N  845230W  /  32.5102N  84.8749W  /  32.5102;  -84.8749  (Columbus) ,https://en.wikipedia.org/wiki/Columbus_Georgia,Muscogee,,,, B.  H.  "Skip"  Henderson  III  (R) ,, 216.1sqmi  (592.1km2) , 4.7sqmi  (12.3km2) , 243ft  (74m) , UTC5  (EST) , UTC4  (EDT) , City  of  Columbus ,,, 861/sqmi  (332.6/km2) 
 127,Tallahassee,Florida,193551,181376,+6.71%,100.4sqmi;260.0km2,1901/sqmi;734/km2,302718N  841512W  /  30.4551N  84.2534W  /  30.4551;  -84.2534  (Tallahassee) ,https://en.wikipedia.org/wiki/Tallahassee_Florida,Leon,,,CommissionManager, John  Dailey  (D) ,, 100.42sqmi  (260.09km2) , 3.21sqmi  (8.30km2) ,, UTC5  (Eastern  (EST)) , UTC4  (EDT) ,www.talgov.com,,, 1900.94/sqmi  (733.95/km2) 
 128,Overland  Park,Kansas,192536,173372,+11.05%,75.1sqmi;194.5km2,2516/sqmi;971/km2,385320N  944126W  /  38.8890N  94.6906W  /  38.8890;  -94.6906  (Overland  Park) ,https://en.wikipedia.org/wiki/Overland_Park_Kansas,Johnson,,1960,, Carl  R.  Gerlach[1] ,, 74.84sqmi  (193.84km2) , 0.53sqmi  (1.38km2) , 1086ft  (331m) , UTC-6  (CST) , UTC-5  (CDT) ,opkansas.org,,, 2300/sqmi  (890/km2) 
 129,Tempe,Arizona,192364,161719,+18.95%,40.0sqmi;103.6km2,4562/sqmi;1761/km2,332318N  1115554W  /  33.3884N  111.9318W  /  33.3884;  -111.9318  (Tempe) ,https://en.wikipedia.org/wiki/Tempe_Arizona,Maricopa,, October  15  1892 ,, Mark  Mitchell  (D) , 40.23sqmi  (104.18km2)161719 , 39.97sqmi  (103.51km2) , 0.26sqmi  (0.67km2) , 11401495ft  (347.47    455.68m) , UTC7  (MST  (no  DST)) ,,www.tempe.gov,, 480  and  602 , 4566.33/sqmi  (1763.08/km2) 
 130,McKinney,Texas,191645,131117,+46.16%,63.0sqmi;163.2km2,2735/sqmi;1056/km2,331155N  964005W  /  33.1985N  96.6680W  /  33.1985;  -96.6680  (McKinney) ,https://en.wikipedia.org/wiki/McKinney_Texas,Collin,,1848,council-manager, George  Fuller[1] ,, 62.2sqmi  (161.1km2) , 0.7sqmi  (1.7km2) , 630ft  (192m) , UTC6  (CST) , UTC5  (CDT) ,www.mckinneytexas.org,,, 2494/sqmi  (962.9/km2) 
 131,Mobile,Alabama,189572,195111,2.84%,139.4sqmi;361.0km2,1384/sqmi;534/km2,304006N  880601W  /  30.6684N  88.1002W  /  30.6684;  -88.1002  (Mobile) ,https://en.wikipedia.org/wiki/Mobile_Alabama,Mobile,,,Mayorcouncil, Sandy  Stimpson  (R) , 180.06sqmi  (466.34km2)195111 , 139.40sqmi  (361.04km2) , 40.66sqmi  (105.31km2) ,, UTC6  (CST) , UTC5  (CDT) , City  of  Mobile , Zip  codes[7] ,, 1364.91/sqmi  (527.00/km2) 
 132,Cape  Coral,Florida,189343,154305,+22.71%,105.6sqmi;273.5km2,1703/sqmi;658/km2,263836N  815951W  /  26.6432N  81.9974W  /  26.6432;  -81.9974  (Cape  Coral) ,https://en.wikipedia.org/wiki/Cape_Coral_Florida,Lee,,1970,Council-Manager, Joe  Coviello , 119.20sqmi  (308.72km2)154305 , 105.77sqmi  (273.95km2) , 13.42sqmi  (34.77km2)  9% , 5ft  (2m) , UTC05:00  (EST) , UTC04:00  (EDT) ,www.capecoral.net, 33904  33909  33914  33990  33991  33993 ,, 1733.55/sqmi  (669.33/km2) 
 133,Shreveport,Louisiana,188987,199311,5.18%,107.1sqmi;277.4km2,1820/sqmi;700/km2,322801N  934732W  /  32.4669N  93.7922W  /  32.4669;  -93.7922  (Shreveport) ,https://en.wikipedia.org/wiki/Shreveport_Louisiana,,, March  20  1839 ,, Adrian  Perkins  (D) , 122.35sqmi  (316.88km2)199311 , 107.14sqmi  (277.48km2) , 15.21sqmi  (39.40km2) , 154  to  253ft  (46  to  77.1m) , UTC6  (CST) , UTC5  (CDT) ,shreveportla.gov,,, 1819.35/sqmi  (702.45/km2) 
 134,Frisco,Texas,188170,116989,+60.84%,67.7sqmi;175.3km2,2417/sqmi;933/km2,330919N  964921W  /  33.1554N  96.8226W  /  33.1554;  -96.8226  (Frisco) ,https://en.wikipedia.org/wiki/Frisco_Texas,,,,Council-manager,,, 61.8sqmi  (160.1km2) , 0.6sqmi  (1.5km2) , 774ft  (236m) , UTC-6  (CST) , UTC-5  (CDT) ,www.friscotexas.gov,,, 2720/sqmi  (1050.2/km2) 
 135,Knoxville,Tennessee,187500,178874,+4.82%,98.5sqmi;255.1km2,1891/sqmi;730/km2,355815N  835657W  /  35.9707N  83.9493W  /  35.9707;  -83.9493  (Knoxville) ,https://en.wikipedia.org/wiki/Knoxville_Tennessee,Knox,1786,1815,Mayorcouncil, Madeline  Rogero  (D) , 104.2sqmi  (269.8km2)178874 , 98.5sqmi  (255.2km2) , 5.6sqmi  (14.6km2)  5.4% ,, UTC5  (EST) , UTC4  (EDT) ,www.knoxvilletn.gov,,, 1816/sqmi  (701.0/km2) 
 136,Worcester,Massachusetts,185877,181045,+2.67%,37.4sqmi;96.9km2,4933/sqmi;1905/km2,421610N  714828W  /  42.2695N  71.8078W  /  42.2695;  -71.8078  (Worcester) ,https://en.wikipedia.org/wiki/Worcester_Massachusetts,Worcester,1673,,Council-manager, Joseph  Petty  (D) , 38.6sqmi  (99.9km2)181045 , 37.6sqmi  (97.3km2) , 1.0sqmi  (2.6km2) , 480ft  (146m) , UTC-5  (Eastern) , UTC-4  (Eastern) ,www.worcesterma.gov,,, 4700/sqmi  (1800/km2) 
 137,Brownsville,Texas,183392,175023,+4.78%,132.5sqmi;343.2km2,1387/sqmi;536/km2,255957N  972718W  /  25.9991N  97.4550W  /  25.9991;  -97.4550  (Brownsville) ,https://en.wikipedia.org/wiki/Brownsville_Texas,Cameron,, February  7  1853 ,Council-Manager,Vacant, 84.867sqmi  (219.805km2)175023  (US:  131st) , 81.528sqmi  (211.157km2) , 3.339sqmi  (8.648km2)  4% , 33ft  (10m) , UTC-6  (CST) , UTC-5  (CDT) ,www.cob.us, 78520  78521  78522  78523  78526 ,,
 138,Vancouver,Washington,183012,161791,+13.12%,46.9sqmi;121.5km2,3728/sqmi;1439/km2,453806N  1223545W  /  45.6349N  122.5957W  /  45.6349;  -122.5957  (Vancouver) ,https://en.wikipedia.org/wiki/Vancouver_Washington,Clark,,1857,Council/Manager, Anne  McEnerny-Ogle , 52.39sqmi  (135.70km2)161791 , 48.69sqmi  (126.11km2) , 3.70sqmi  (9.59km2) , 171ft  (52m) , UTC8  (Pacific) , UTC7  (PDT) , City  of  Vancouver ,,, 3608.06/sqmi  (1393.07/km2) 
 139,Fort  Lauderdale,Florida,182595,165521,+10.32%,34.6sqmi;89.6km2,5166/sqmi;1995/km2,260828N  800848W  /  26.1412N  80.1467W  /  26.1412;  -80.1467  (Fort  Lauderdale) ,https://en.wikipedia.org/wiki/Fort_Lauderdale_Florida,,,,,,,,,,,,,,,
 140,Sioux  Falls,South  Dakota,181883,153888,+18.19%,75.4sqmi;195.3km2,2312/sqmi;893/km2,433218N  964355W  /  43.5383N  96.7320W  /  43.5383;  -96.7320  (Sioux  Falls) ,https://en.wikipedia.org/wiki/Sioux_Falls_South_Dakota,,,,,,,,,,,,,,,
 141,Ontario,California,181107,163924,+10.48%,49.9sqmi;129.2km2,3471/sqmi;1340/km2,340222N  1173615W  /  34.0394N  117.6042W  /  34.0394;  -117.6042  (Ontario) ,https://en.wikipedia.org/wiki/Ontario_California,,,,,,,,,,,,,,,
 142,Chattanooga,Tennessee,180557,167674,+7.68%,143.1sqmi;370.6km2,1241/sqmi;479/km2,350358N  851454W  /  35.0660N  85.2484W  /  35.0660;  -85.2484  (Chattanooga) ,https://en.wikipedia.org/wiki/Chattanooga_Tennessee,Hamilton,,1839[2],Mayor-council, Andy  Berke  (D) , 144.6sqmi  (374.4km2)167674 , 137.1sqmi  (355.2km2) , 7.4sqmi  (19.2km2) , 676ft  (206m) , UTC-5  (EST) , UTC-4  (EDT) ,www.chattanooga.gov,,, 1295/sqmi  (499.9/km2) 
 143,Providence,Rhode  Island,179335,178042,+0.73%,18.4sqmi;47.7km2,9740/sqmi;3760/km2,414923N  712508W  /  41.8231N  71.4188W  /  41.8231;  -71.4188  (Providence) ,https://en.wikipedia.org/wiki/Providence_Rhode_Island,Providence,1636,,Mayor-Council, Jorge  Elorza  (D) ,, 48km2  (18.4sqmi) , 6km2  (2.2sqmi) , 23m  (75ft) , UTC5  (Eastern  Time  Zone) , UTC4  (EDT) ,www.providenceri.com, 0290102912  02918  02919  02940 ,, 3736.0/km2  (9676.2/sqmi) 
 144,Newport  News[m],Virginia,178626,180719,1.16%,69.1sqmi;179.0km2,2631/sqmi;1016/km2,370434N  763119W  /  37.0762N  76.5220W  /  37.0762;  -76.5220  (Newport  News) ,https://en.wikipedia.org/wiki/Newport_News_Virginia,,1619[1],1896,, McKinley  L.  Price  (I) ,, 69.12sqmi  (179.02km2) , 50.55sqmi  (130.93km2)  42.4% , 15ft  (4.5m) , UTC5  (EST) , UTC4  (EDT) ,www.nnva.gov,,, 2595.35/sqmi  (1002.07/km2) 
 145,Rancho  Cucamonga,California,177751,165269,+7.55%,40.0sqmi;103.6km2,4413/sqmi;1704/km2,340724N  1173351W  /  34.1233N  117.5642W  /  34.1233;  -117.5642  (Rancho  Cucamonga) ,https://en.wikipedia.org/wiki/Rancho_Cucamonga_California, San  Bernardino ,,,Council-Manager,,, 39.99sqmi  (103.56km2) , 0.01sqmi  (0.02km2)  0.05% ,, UTC8  (PST) , UTC7  (PDT) ,www.cityofrc.us,,, 4414.90/sqmi  (1704.62/km2) 
 146,Santa  Rosa,California,177586,167815,+5.82%,41.3sqmi;107.0km2,4241/sqmi;1637/km2,382648N  1224222W  /  38.4468N  122.7061W  /  38.4468;  -122.7061  (Santa  Rosa) ,https://en.wikipedia.org/wiki/Santa_Rosa_California,Sonoma,, March  26  1868[2] ,Council-Manager, Tom  Schwedhelm[3] , 41.50sqmi  (107.48km2)167815 , 41.29sqmi  (106.95km2) , 0.20sqmi  (0.53km2)  0.49% ,, UTC8  (Pacific) , UTC7  (PDT) ,ci.santa-rosa.ca.us,,, 4241.86/sqmi  (1637.77/km2) 
 147,Oceanside,California,176080,167086,+5.38%,41.3sqmi;107.0km2,4249/sqmi;1641/km2,331328N  1171822W  /  33.2245N  117.3062W  /  33.2245;  -117.3062  (Oceanside) ,https://en.wikipedia.org/wiki/Oceanside_California, San  Diego ,, July  3  1888[1] ,Council-manager[2],,, 41.25sqmi  (106.84km2) , 0.92sqmi  (2.39km2)  2.23% ,, UTC8  (Pacific) , UTC7  (PDT) ,www.ci.oceanside.ca.us, 92049  92051  92052  92054  9205692058 ,442/760, 4271.35/sqmi  (1649.13/km2) 
 148,Salem,Oregon,173442,154637,+12.16%,48.6sqmi;125.9km2,3445/sqmi;1330/km2,445525N  1230124W  /  44.9237N  123.0232W  /  44.9237;  -123.0232  (Salem) ,https://en.wikipedia.org/wiki/Salem_Oregon,,,, City  Council    City  Manager , Chuck  Bennett  (D) , 48.45sqmi  (125.48km2)154637 , 47.90sqmi  (124.06km2) , 0.55sqmi  (1.42km2) , 154ft  (46.7m) , UTC8  (PST) , UTC7  (PDT) ,cityofsalem.net,, 503  and  971 , 3228.3/sqmi  (1246.5/km2) 
 149,Elk  Grove,California,172886,153015,+12.99%,42.2sqmi;109.3km2,4022/sqmi;1553/km2,382453N  1212306W  /  38.4146N  121.3850W  /  38.4146;  -121.3850  (Elk  Grove) ,https://en.wikipedia.org/wiki/Elk_Grove_California,Sacramento,, July  1  2000[2] ,Council/Manager[3], Steve  Ly  (directly  elected)[4] ,, 42.20sqmi  (109.29km2) , 0.05sqmi  (0.12km2)  0.12% ,, UTC-8  (Pacific) , UTC-7  (PDT) ,elkgrovecity.org,,, 4022.73/sqmi  (1553.18/km2) 
 150,Garden  Grove,California,172646,170883,+1.03%,18.0sqmi;46.6km2,9714/sqmi;3751/km2,334644N  1175738W  /  33.7788N  117.9605W  /  33.7788;  -117.9605  (Garden  Grove) ,https://en.wikipedia.org/wiki/Garden_Grove_California,Orange,, June  18  1956[2] ,Council-manager, Steven  R.  Jones ,, 17.96sqmi  (46.51km2) , 0.02sqmi  (0.05km2)  0.10% ,, UTC-8  (Pacific) , UTC-7  (PDT) ,www.ggcity.org,,657/714, 9737.60/sqmi  (3759.66/km2) 
 151,Pembroke  Pines,Florida,172374,154019,+11.92%,33.0sqmi;85.5km2,5109/sqmi;1973/km2,260116N  802025W  /  26.0210N  80.3404W  /  26.0210;  -80.3404  (Pembroke  Pines) ,https://en.wikipedia.org/wiki/Pembroke_Pines_Florida,Broward,,,Commission-Manager, Frank  C.  Ortis  (D)[2] ,, 33.03sqmi  (85.54km2) , 1.94sqmi  (5.03km2)  4.88% , 7ft  (2m) , UTC5  (Eastern  (EST)) , UTC4  (EDT) , City  of  Pembroke  Pines ,,, 5104.52/sqmi  (1970.87/km2) 
 152,Peoria,Arizona,172259,154065,+11.81%,175.7sqmi;455.1km2,934/sqmi;361/km2,334710N  1121829W  /  33.7862N  112.3080W  /  33.7862;  -112.3080  (Peoria) ,https://en.wikipedia.org/wiki/Peoria_Arizona,,,,,,,,,,,,,,,
